Etiqueta;rep;nacl;cond;seeds;D0;D1;D2;D3;D4;D5;D6;PL;BM;PL_P;BM_P
CLUZ1;1;0;1;10;0;2;5;6;7;8;10;1.98;1.98;0.821166667;0.821166667
CLUZ2;2;0;1;10;0;4;8;8;9;9;10;1.89;1.89;0.821166667;0.821166667
CLUZ3;3;0;1;10;0;2;4;6;9;9;10;2.1;2.1;0.821166667;0.821166667
CLUZ4;4;0;1;10;0;1;2;2;2;2;9;0.6;0.6;0.821166667;0.821166667
CLUZ5;5;0;1;10;0;0;1;1;1;1;5;0.46;0.46;0.821166667;0.821166667
CLUZ6;6;0;1;10;0;4;5;6;6;6;6;1.464;1.464;0.821166667;0.821166667
CLUZ7;7;0;1;10;0;0;0;0;0;0;0;0;0;0.821166667;0.821166667
CLUZ8;8;0;1;10;0;0;0;0;0;0;0;0;0;0.821166667;0.821166667
CLUZ9;9;0;1;10;0;0;0;0;0;0;2;0.39;0.39;0.821166667;0.821166667
CLUZ10;10;0;1;10;0;0;0;0;0;0;0;0;0;0.821166667;0.821166667
CLUZ11;11;0;1;10;0;0;0;0;0;0;0;0;0;0.821166667;0.821166667
CLUZ12;12;0;1;10;0;0;0;0;0;0;0;0.97;0.97;0.821166667;0.821166667
COSC1;1;0;2;10;0;2;4;5;8;9;10;4.56;4.56;4.9675;4.9675
COSC2;2;0;2;10;0;4;6;8;10;10;10;4.6;4.6;4.9675;4.9675
COSC3;3;0;2;10;0;3;5;8;9;10;10;4.87;4.87;4.9675;4.9675
COSC4;4;0;2;10;0;3;5;7;9;10;10;5.23;5.23;4.9675;4.9675
COSC5;5;0;2;10;0;3;6;8;9;10;9;3.4;3.4;4.9675;4.9675
COSC6;6;0;2;10;0;4;7;9;9;10;10;7.4;7.4;4.9675;4.9675
COSC7;7;0;2;10;0;2;4;6;8;9;10;5.36;5.36;4.9675;4.9675
COSC8;8;0;2;10;0;0;1;3;4;8;10;6.03;6.03;4.9675;4.9675
COSC9;9;0;2;10;0;3;5;6;6;7;7;2.42;2.42;4.9675;4.9675
COSC10;10;0;2;10;0;3;5;7;8;9;9;4.95;4.95;4.9675;4.9675
COSC11;11;0;2;10;0;2;4;5;8;8;8;5.78;5.78;4.9675;4.9675
COSC12;12;0;2;10;0;3;6;9;10;10;10;5.01;5.01;4.9675;4.9675
1LUZ1;1;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ2;2;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ3;3;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ4;4;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ5;5;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ6;6;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ7;7;0.1;1;10;0;0;0;0;0;0;3;0.51;0.51;0.411666667;0.411666667
1LUZ8;8;0.1;1;10;0;0;0;0;0;0;0;0;0;0.411666667;0.411666667
1LUZ9;9;0.1;1;10;0;0;0;0;0;0;3;1.2;1.2;0.411666667;0.411666667
1LUZ10;10;0.1;1;10;0;0;0;3;5;6;7;1.52;1.52;0.411666667;0.411666667
1LUZ11;11;0.1;1;10;0;0;1;1;2;2;7;0.96;0.96;0.411666667;0.411666667
1LUZ12;12;0.1;1;10;0;2;3;3;4;4;4;0.75;0.75;0.411666667;0.411666667
1OSC1;1;0.1;2;10;0;1;2;4;5;6;6;1.94;1.94;2.528416667;2.528416667
1OSC2;2;0.1;2;10;0;1;2;7;9;9;10;2;2;2.528416667;2.528416667
1OSC3;3;0.1;2;10;0;1;2;4;6;6;8;1.28;1.28;2.528416667;2.528416667
1OSC4;4;0.1;2;10;0;2;4;6;9;9;9;2.331;2.331;2.528416667;2.528416667
1OSC5;5;0.1;2;10;0;1;2;5;7;7;9;8.6;8.6;2.528416667;2.528416667
1OSC6;6;0.1;2;10;0;0;1;1;1;1;2;0.6;0.6;2.528416667;2.528416667
1OSC7;7;0.1;2;10;0;3;5;8;9;9;9;1.89;1.89;2.528416667;2.528416667
1OSC8;8;0.1;2;10;0;2;3;7;9;9;9;3.2;3.2;2.528416667;2.528416667
1OSC9;9;0.1;2;10;0;3;6;8;10;10;10;2.01;2.01;2.528416667;2.528416667
1OSC10;10;0.1;2;10;0;2;4;5;6;9;9;2.51;2.51;2.528416667;2.528416667
1OSC11;11;0.1;2;10;0;1;2;6;7;8;9;1.91;1.91;2.528416667;2.528416667
1OSC12;12;0.1;2;10;0;4;6;8;10;10;10;2.07;2.07;2.528416667;2.528416667
2LUZ1;1;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ2;2;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ3;3;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ4;4;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ5;5;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ6;6;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ7;7;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ8;8;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ9;9;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ10;10;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ11;11;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2LUZ12;12;0.5;1;10;0;0;0;0;0;0;0;0;0;0;0
2OSC1;1;0.5;2;10;0;0;0;0;0;0;1;0.15;0.15;1.068333333;1.068333333
2OSC2;2;0.5;2;10;0;0;0;0;0;0;8;2;2;1.068333333;1.068333333
2OSC3;3;0.5;2;10;0;0;0;0;0;0;0;0;0;1.068333333;1.068333333
2OSC4;4;0.5;2;10;0;0;0;0;1;1;1;0.1;0.1;1.068333333;1.068333333
2OSC5;5;0.5;2;10;0;0;0;2;3;5;9;5.25;5.25;1.068333333;1.068333333
2OSC6;6;0.5;2;10;0;0;0;2;3;3;7;3.9;3.9;1.068333333;1.068333333
2OSC7;7;0.5;2;10;0;0;0;1;3;3;6;0.42;0.42;1.068333333;1.068333333
2OSC8;8;0.5;2;10;0;0;0;2;3;6;6;0;0;1.068333333;1.068333333
2OSC9;9;0.5;2;10;0;0;0;2;3;5;10;0.5;0.5;1.068333333;1.068333333
2OSC10;10;0.5;2;10;0;0;0;0;0;0;0;0;0;1.068333333;1.068333333
2OSC11;11;0.5;2;10;0;0;0;0;1;1;1;0.2;0.2;1.068333333;1.068333333
2OSC12;12;0.5;2;10;0;0;1;1;1;2;3;0.3;0.3;1.068333333;1.068333333
3LUZ1;1;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ2;2;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ3;3;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ4;4;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ5;5;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ6;6;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ7;7;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ8;8;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ9;9;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ10;10;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ11;11;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3LUZ12;12;1;1;10;0;0;0;0;0;0;0;0;0;0;0
3OSC1;1;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC2;2;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC3;3;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC4;4;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC5;5;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC6;6;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC7;7;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC8;8;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC9;9;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC10;10;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC11;11;1;2;10;0;0;0;0;0;0;0;0;0;0;0
3OSC12;12;1;2;10;0;0;0;0;0;0;0;0;0;0;0
